tiempo;estimulo_objetivo;x;y;matriz_estado
100,1921;Pinguino;995;553;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,2129;Pinguino;977;589;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,2338;Pinguino;965;607;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,2549;Pinguino;958;617;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,2754;Pinguino;958;623;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,2963;Pinguino;960;629;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,3171;Pinguino;957;629;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,3378;Pinguino;953;631;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,3585;Pinguino;952;635;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,3800;Pinguino;954;640;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,4010;Pinguino;955;642;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,4218;Pinguino;955;641;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,4419;Pinguino;955;640;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,4631;Pinguino;956;641;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,4841;Pinguino;956;640;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,5051;Pinguino;954;640;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,5260;Pinguino;953;640;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,5469;Pinguino;954;638;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,5679;Pinguino;955;638;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,5885;Pinguino;956;638;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,6086;Pinguino;956;639;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,6295;Pinguino;955;639;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,6503;Pinguino;955;640;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,6711;Pinguino;956;641;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,6921;Pinguino;957;642;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,7133;Pinguino;958;641;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,7344;Pinguino;959;641;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,7551;Pinguino;959;643;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,7760;Pinguino;960;643;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,7968;Pinguino;960;644;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,8169;Pinguino;960;646;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,8378;Pinguino;962;647;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,8586;Pinguino;964;648;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,8798;Pinguino;963;648;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,9009;Pinguino;963;648;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,9218;Pinguino;962;648;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,9419;Pinguino;963;648;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,9639;Pinguino;964;648;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,9843;Pinguino;964;649;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,0044;Pinguino;963;649;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,0253;Pinguino;965;650;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,0463;Pinguino;966;651;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,0676;Pinguino;966;652;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,0884;Pinguino;967;653;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,1085;Pinguino;967;653;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,1294;Pinguino;967;653;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,1505;Pinguino;968;654;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,1718;Pinguino;969;655;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,1919;Pinguino;971;658;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,2128;Pinguino;973;659;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,2341;Pinguino;974;659;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,2550;Pinguino;975;659;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,2759;Pinguino;975;659;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,2960;Pinguino;976;658;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,3169;Pinguino;975;657;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,3379;Pinguino;974;655;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,3585;Pinguino;974;655;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,3794;Pinguino;975;655;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,3999;Pinguino;976;654;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,4210;Pinguino;976;652;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,4419;Pinguino;973;637;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,4626;Pinguino;972;614;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,4835;Pinguino;967;593;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,5045;Pinguino;966;576;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,5258;Pinguino;960;563;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,5458;Pinguino;956;551;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,5669;Pinguino;952;543;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,5876;Pinguino;952;542;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,6084;Pinguino;954;543;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,6295;Pinguino;955;540;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,6500;Pinguino;953;538;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
101,6710;Pinguino;952;537;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
